,airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
344,5,2,0,0,5,5,1,3,14618
345,5,2,2,0,4,5,1,3,14775
346,5,2,2,0,5,5,1,3,14775
347,5,2,2,0,5,5,1,3,14775
348,3,2,0,0,5,5,1,3,14744
349,5,2,4,0,5,5,1,3,15353
350,5,2,4,0,4,5,1,3,15353
351,5,2,0,0,5,5,1,3,15405
352,1,2,5,0,0,5,1,3,15090
353,3,2,1,0,2,5,1,3,15232
354,3,2,5,0,4,5,1,3,15232
355,5,2,5,2,5,5,1,3,15720
356,5,2,2,2,5,5,1,3,15720
357,1,2,4,0,0,5,1,3,15405
358,3,2,5,2,5,5,1,3,15720
359,3,2,4,0,0,5,1,3,15720
360,3,2,4,0,2,5,1,3,15720
361,1,2,5,0,2,5,1,3,15825
362,1,2,2,0,2,5,1,3,15825
363,1,2,2,0,5,5,1,3,16245
364,5,2,2,0,0,5,1,3,16665
365,5,2,4,0,5,5,1,3,16718
366,2,2,1,0,0,5,1,3,16823
367,5,2,0,0,0,5,1,3,17190
368,2,2,4,0,2,5,1,3,16859
369,5,2,2,0,4,5,1,3,17243
370,5,2,4,0,5,5,1,3,17348
371,2,2,0,0,5,5,1,3,17136
372,1,2,1,0,0,5,1,3,17295
373,5,2,2,0,4,5,1,3,17978
374,5,2,0,0,4,5,1,3,18030
375,5,2,2,0,4,5,1,3,18135
376,1,2,1,0,5,5,1,3,18135
377,5,2,4,0,5,5,1,3,18713
378,5,2,0,0,5,5,1,3,19238
379,1,2,2,0,4,5,1,3,19605
380,1,2,0,0,4,5,1,3,19605
381,1,2,0,0,5,5,1,3,19920
382,5,2,0,0,5,5,1,3,21233
383,5,2,4,0,0,5,1,3,21285
384,2,2,4,0,2,5,1,3,21899
385,1,2,4,0,4,5,1,3,22755
386,5,2,0,0,5,5,1,3,23228
387,1,2,4,0,0,5,1,3,22965
388,1,2,4,0,5,5,1,3,23070
389,2,2,4,0,0,5,1,3,23491
390,1,2,2,0,0,5,1,3,24225
391,1,2,0,0,0,5,1,3,24225
392,1,2,2,0,5,5,1,3,24435
393,1,2,0,0,0,5,1,3,25223
394,1,2,2,0,5,5,1,3,26325
395,1,2,5,0,5,5,1,3,27165
396,1,2,4,0,2,5,1,3,29580
397,1,2,0,0,5,5,1,3,31260
398,4,2,2,2,5,5,1,4,5953
399,4,2,1,2,4,5,1,4,5953
400,4,2,1,2,4,5,1,4,5953
401,4,2,1,2,4,5,1,4,5953
402,4,2,2,2,5,5,1,4,5953
403,4,2,2,2,5,5,1,4,5953
404,5,2,0,2,2,5,1,4,5955
405,5,2,0,2,2,5,1,4,5955
406,5,2,2,2,5,5,1,4,5955
407,5,2,4,2,0,5,1,4,5955
408,5,2,2,2,5,5,1,4,5955
409,5,2,4,2,0,5,1,4,5955
410,5,2,2,2,5,5,1,4,5955
411,5,2,4,2,4,5,1,4,6060
412,5,2,5,2,5,5,1,4,6060
413,2,2,0,2,2,5,1,4,5954
414,2,2,0,2,2,5,1,4,5954
415,2,2,2,2,5,5,1,4,5954
416,2,2,5,2,5,5,1,4,5954
417,2,2,4,2,0,5,1,4,5954
418,2,2,2,2,5,5,1,4,5954
419,3,2,1,2,4,5,1,4,5955
420,3,2,4,2,0,5,1,4,5955
421,3,2,2,2,2,5,1,4,5955
422,3,2,2,2,5,5,1,4,5955
423,4,2,1,2,4,5,1,4,5955
424,3,2,4,2,0,5,1,4,5955
425,3,2,0,2,2,5,1,4,5955
426,3,2,5,2,5,5,1,4,5955
427,3,2,4,2,4,5,1,4,5955
428,3,2,4,2,4,5,1,4,5955
429,1,2,2,2,2,5,1,4,5955
430,1,2,1,2,4,5,1,4,5955
431,1,2,1,2,4,5,1,4,5955
432,1,2,2,2,5,5,1,4,5955
433,1,2,4,2,4,5,1,4,5955
434,1,2,2,2,5,5,1,4,5955
435,0,2,2,0,1,5,1,4,5949
436,2,2,0,0,2,5,1,4,5954
437,2,2,4,0,2,5,1,4,5954
438,2,2,0,0,5,5,1,4,5954
439,2,2,1,0,2,5,1,4,5954
440,2,2,2,0,1,5,1,4,5954
441,2,2,2,0,4,5,1,4,5954
442,2,2,1,0,5,5,1,4,5954
443,1,2,2,0,5,5,1,4,5955
444,4,2,2,0,5,5,1,4,5955
445,3,2,1,0,2,5,1,4,5955
446,3,2,0,0,5,5,1,4,5955
447,3,2,5,0,4,5,1,4,5955
448,4,2,2,0,4,5,1,4,5955
449,4,2,0,0,2,5,1,4,5955
450,0,2,1,2,1,5,1,4,6139
451,3,2,1,2,4,5,1,4,6165
452,4,2,2,0,1,5,1,4,6270
453,5,2,4,2,4,5,1,4,6690
454,3,2,2,0,5,5,1,4,6443
455,2,2,1,2,4,5,1,4,6532
456,3,2,5,0,4,5,1,4,6932
457,3,2,0,0,2,5,1,4,7420
458,3,2,4,0,2,5,1,4,7420
459,3,2,0,0,5,5,1,4,7420
460,1,2,1,0,5,5,1,4,8413
461,5,2,2,0,4,5,1,4,9000
462,5,2,0,0,4,5,1,4,9000
463,1,2,2,0,0,5,1,4,8790
