airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
1,2,5,0,5,5,1,4,12990
2,2,4,0,2,5,1,4,13043
5,2,2,0,4,5,1,4,13410
5,2,2,0,4,5,1,4,13410
5,2,0,0,4,5,1,4,13410
5,2,1,0,4,5,1,4,13410
4,2,1,0,4,5,1,4,13200
5,2,0,0,5,5,1,4,14565
5,2,1,0,5,5,1,4,14565
1,2,4,0,2,5,1,4,14775
1,2,4,0,5,5,1,4,15143
5,2,1,0,5,5,1,4,15825
1,2,4,0,0,5,1,4,15720
1,2,0,0,2,5,1,4,15825
1,2,4,0,2,5,1,4,15825
1,2,1,0,2,5,1,4,15825
5,2,1,0,5,5,1,4,16665
5,2,1,0,5,5,1,4,17505
2,2,4,0,2,5,1,4,17243
5,2,1,0,5,5,1,4,18345
5,2,1,0,0,5,1,4,18450
5,2,2,0,5,5,1,4,19815
5,2,1,0,0,5,1,4,20130
1,2,2,0,5,5,1,4,20025
1,2,0,0,5,5,1,4,20025
1,2,5,0,2,5,1,4,21180
1,2,2,0,2,5,1,4,21180
1,2,4,0,0,5,1,4,21390
1,2,1,0,0,5,1,4,24540
4,2,2,2,5,5,1,5,5953
4,2,2,2,5,5,1,5,5953
4,2,1,2,4,5,1,5,5953
4,2,1,2,4,5,1,5,5953
4,2,1,2,4,5,1,5,5953
4,2,1,2,4,5,1,5,5953
4,2,2,2,5,5,1,5,5953
4,2,2,2,5,5,1,5,5953
5,2,5,2,5,5,1,5,5955
5,2,4,2,4,5,1,5,5955
5,2,1,2,1,5,1,5,5955
5,2,0,2,0,5,1,5,5955
5,2,0,2,2,5,1,5,5955
5,2,0,2,2,5,1,5,5955
5,2,2,2,5,5,1,5,5955
5,2,5,2,5,5,1,5,5955
5,2,1,2,4,5,1,5,5955
5,2,4,2,0,5,1,5,5955
5,2,2,2,5,5,1,5,5955
5,2,4,2,4,5,1,5,5955
5,2,4,2,0,5,1,5,5955
5,2,2,2,2,5,1,5,5955
5,2,2,2,5,5,1,5,5955
2,2,1,2,4,5,1,5,5954
2,2,0,2,2,5,1,5,5954
2,2,0,2,2,5,1,5,5954
2,2,2,2,5,5,1,5,5954
2,2,4,2,0,5,1,5,5954
2,2,2,2,5,5,1,5,5954
3,2,1,2,4,5,1,5,5955
3,2,1,2,4,5,1,5,5955
3,2,4,2,0,5,1,5,5955
3,2,2,2,2,5,1,5,5955
3,2,2,2,5,5,1,5,5955
3,2,4,2,0,5,1,5,5955
3,2,0,2,2,5,1,5,5955
3,2,5,2,5,5,1,5,5955
3,2,4,2,4,5,1,5,5955
3,2,4,2,4,5,1,5,5955
1,2,2,2,2,5,1,5,5955
1,2,1,2,4,5,1,5,5955
1,2,1,2,4,5,1,5,5955
1,2,2,2,5,5,1,5,5955
1,2,4,2,4,5,1,5,5955
1,2,2,2,5,5,1,5,5955
0,2,5,0,1,5,1,5,5949
0,2,2,0,1,5,1,5,5949
2,2,4,0,2,5,1,5,5954
2,2,0,1,5,5,1,5,5954
2,2,4,0,2,5,1,5,5954
2,2,1,0,2,5,1,5,5954
2,2,2,0,1,5,1,5,5954
2,2,1,0,5,5,1,5,5954
2,2,2,0,4,5,1,5,5954
2,2,1,0,5,5,1,5,5954
1,2,2,0,5,5,1,5,5955
4,2,2,0,5,5,1,5,5955
4,2,2,0,4,5,1,5,5955
4,2,4,0,0,5,1,5,5955
4,2,0,0,2,5,1,5,5955
0,2,1,2,1,5,1,5,6139
4,2,2,0,1,5,1,5,6270
3,2,1,0,4,5,1,5,6443
3,2,0,0,5,5,1,5,6443
2,2,5,2,5,5,1,5,6532
3,2,4,1,2,5,1,5,6953
3,2,4,0,0,5,1,5,7163
3,2,2,0,5,5,1,5,7420
3,2,0,0,5,5,1,5,7420
1,2,4,0,5,5,1,5,7468
1,2,1,0,5,5,1,5,7468
3,2,0,0,2,5,1,5,8396
3,2,1,0,2,5,1,5,8396
5,2,2,0,4,5,1,5,9000
5,2,0,0,4,5,1,5,9000
1,2,2,0,0,5,1,5,8790
2,2,1,0,5,5,1,5,8869
2,2,0,0,5,5,1,5,8892
1,2,1,0,5,5,1,5,9000
1,2,2,0,5,5,1,5,9315
1,2,1,0,0,5,1,5,9368
3,2,1,0,0,5,1,5,9373
3,2,4,0,2,5,1,5,9373
2,2,2,0,5,5,1,5,9447
5,2,1,0,0,5,1,5,9840
5,2,4,0,5,5,1,5,9840
5,2,5,0,4,5,1,5,9840
5,2,1,0,5,5,1,5,9840
5,2,5,0,0,5,1,5,9840
5,2,4,0,4,5,1,5,9840
5,2,5,0,5,5,1,5,9840
5,2,1,0,4,5,1,5,9840
5,2,0,0,0,5,1,5,9893
1,2,1,0,2,5,1,5,9590
5,2,0,0,5,5,1,5,9945
5,2,0,0,4,5,1,5,9945
5,2,0,0,0,5,1,5,9945
3,2,4,0,0,5,1,5,9998
5,2,2,0,5,5,1,5,10575
5,2,2,0,5,5,1,5,10575
5,2,0,0,5,5,1,5,10575
5,2,2,0,4,5,1,5,10575
4,2,1,0,4,5,1,5,10260
1,2,1,0,5,5,1,5,10260
5,2,0,0,0,5,1,5,10723
2,2,4,0,2,5,1,5,10549
2,2,1,0,0,5,1,5,10575
1,2,4,0,2,5,1,5,10680
1,2,2,0,2,5,1,5,10680
2,2,4,0,2,5,1,5,11259
2,2,0,0,2,5,1,5,11295
1,2,1,0,5,5,1,5,11573
2,2,4,0,2,5,1,5,11609
1,2,0,0,2,5,1,5,11773
5,2,1,0,4,5,1,5,12150
5,2,2,0,5,5,1,5,12150
5,2,2,0,5,5,1,5,12150
5,2,0,0,5,5,1,5,12150
5,2,0,0,5,5,1,5,12150
5,2,2,0,5,5,1,5,12150
5,2,0,0,5,5,1,5,12150
5,2,0,0,5,5,1,5,12150
5,2,4,0,5,5,1,5,12150
5,2,5,0,4,5,1,5,12150
5,2,4,0,5,5,1,5,12150
5,2,4,0,5,5,1,5,12150
5,2,2,0,4,5,1,5,12150
1,2,5,0,0,5,1,5,11900
2,2,4,0,5,5,1,5,12045
1,2,5,0,4,5,1,5,12150
1,2,4,0,5,5,1,5,12150
1,2,1,0,5,5,1,5,12150
1,2,2,0,4,5,1,5,12150
1,2,4,0,4,5,1,5,12150
1,2,1,0,4,5,1,5,12150
5,2,1,0,0,5,1,5,12990
5,2,0,0,5,5,1,5,13095
5,2,2,0,4,5,1,5,13095
5,2,1,0,5,5,1,5,13095
5,2,2,0,4,5,1,5,13095
1,2,0,0,5,5,1,5,12990
